,Name,Notes,Quote,Quality,Type,DPS,Magazine Size,Ammo Capacity,Damage,"Fire
./img/menu_weapons/The Scrambler,The Scrambler,Fires bullets that hatch into many homing bullets upon hitting an enemy or obstacle.,Bullet Or The Gun?,C,Semiautomatic,42.5,1,120,6 (egg) + 9x5 (seekers),0.10,1.2,20,32,0,6,SILLY,
./img/menu_weapons/Shades's Revolver,Shades's Revolver,Increases coolness by 3.,Someone Loses An Eye,C,Semiautomatic,30.0,6,150,15,0.30,1.5,23,60,30,6,PISTOL,
./img/menu_weapons/Tangler,Tangler,Fires a shotgun blast of rectangular bullets that bounce off walls. Enemies hit will be folded into a rectangle.,Get Wrecktangled,C,Semiautomatic,43.6,4,150,36 (6x6),0.60,1.5,23,15,30,10,SILLY,
./img/menu_weapons/Huntsman,Huntsman,Fires a shotgun blast of bullets. Reloading destroys nearby bullets. Increases curse by 1.,Axes Of Evil,C,Semiautomatic,28.3,6,150,21 (3.5x6),0.65,1.2,23,15,10,10,FULLAUTO,
./img/menu_weapons/Bundle of Wands,Bundle of Wands,Has a chance to transmogrify.,Dark Arts,C,Semiautomatic,42.0,6,150,21 (7x3),0.30,1.5,23,60,30,5,SILLY,
./img/menu_weapons/Skull Spitter,Skull Spitter,Fires homing skulls.,Hard Headed,C,Semiautomatic,27.0,10,150,10,0.30,1.0,15,"1,000",10,0,PISTOL,
./img/menu_weapons/Turbo-Gun,Turbo-Gun,Damage increases for the next magazine depending on the number of reload attempts during its reload.,Repetitive Strain,C,Automatic,32-80,6,180,8.4 (base),0.10,1.0,21,20,6,4,SHITTY,
./img/menu_weapons/Trank Gun,Trank Gun,,Non Non Lethal,C,Semiautomatic,47.6,12,200,6.5,0.15,1.2,23,60,30,6,PISTOL,
./img/menu_weapons/M1911,M1911,,Classic,C,Semiautomatic,26.0,7,200,8,0.15,1.2,23,60,30,6,PISTOL,
./img/menu_weapons/Dungeon Eagle,Dungeon Eagle,Can be charged to fire more powerful shots.,Caw!,C,Charged,32.1,9,200,"Uncharged: 10
Charged: 20",0.20,1.2,25,60,10,10,PISTOL,
./img/menu_weapons/Siren,Siren,Fires a shotgun blast of bullets that leave pools of water. Negates fall damage and goop effects while equipped.,Mershotgun,C,Semiautomatic,32.0,6,200,18 (6x3),0.40,1.5,23,60,30,0,SHOTGUN,
./img/menu_weapons/Corsair,Corsair,"Fires slow, bouncing bullets that accelerate and curve towards enemies.",Plot A Course,C,Charged,12.5,1,200,10,0,0.5,26,"1,000",25,5,CHARGE,
./img/menu_weapons/Trick Gun,Trick Gun,Reloading transforms the gun between a pistol and a shotgun.,Reload To Transform,C,Semiautomatic,16.5,6,200,"Pistol: 7
Shotgun: 16 (2x8)","0.10 (pistol)
0.80 (shotgun)",1.2,"30 (pistol)
25 (shotgun)","60 (pistol)
12 (shotgun)","11 (pistol)
5 (shotgun)","2 (pistol)
10 (shotgun)",SILLY,
./img/menu_weapons/The Kiln,The Kiln,Fires pots that break into 3 bouncing crystals upon hitting something.,Fires Pots,C,Semiautomatic,16.0,8,200,"Pots: 8
Crystals: 4",0.40,1.2,20,45,6,0,SHITTY,
./img/menu_weapons/Brick Breaker,Brick Breaker,Fires piercing turtle shells that bounce off of walls.,Wrong Kind Of Mortar,C,Semiautomatic,15.6,5,200,10,0.50,1.2,20,"1,000",10,2,SILLY,
./img/menu_weapons/Pitchfork,Pitchfork,Fires piercing fireballs that burn.,Get Forked!,C,Semiautomatic,26.7,100,200,4,0.15,0.0,23,"1,000",35,5,FIRE,
./img/menu_weapons/Silencer,Silencer,Fires zippers. Hitting an enemy with the swing of the weapon will stun the enemy.,300 Dead Count,C,Semiautomatic,14.0,8,200,13,0.60,1.5,23,60,30,5,SILLY,
./img/menu_weapons/Bullet,Bullet,Fires rotating guns which fire bullets as they travel.,Fires Guns,C,Semiautomatic,21.0,6,250,"Gun: 7
Bullet: 4",0.2,1.0,?,?,?,?,PISTOL,
./img/menu_weapons/Shotgrub,Shotgrub,Fires a spread of 5 bullets that leave small pools of poison goop.,No Worries!,C,Semiautomatic,46.5,8,250,25 (5x5),0.9,1.5,23,60,30,0,POISON,
./img/menu_weapons/Balloon Gun,Balloon Gun,"Fires small homing tornadoes. While held, grants flight but loses all ammo on taking damage.",Hot Air,C,Automatic,44.1,10,250,12,0.25,1.6,?,?,?,?,FULLAUTO,
./img/menu_weapons/Helix,Helix,Fires two bullets in a helix pattern.,Splice 'n' Dice,C,Semiautomatic,34.0,12,250,15 (7.5x2),0.25,2.0,35,35,10,7,POISON,
./img/menu_weapons/Crestfaller,Crestfaller,Fires bullets that slow and have a chance to freeze.,Cold Reality,C,Semiautomatic,18.4,8,250,10,0.45,1.2,40,"1,000",11,6,RIFLE,
./img/menu_weapons/Teapot,Teapot,"While reloading, ignites nearby enemies.",Monocular Monster,C,Semiautomatic,14.7,12,250,"8.5
15 (pink shot)",0.40,3.0,20,"1,000",7,4,PISTOL,
./img/menu_weapons/Poxcannon,Poxcannon,Shoots poisonous t-shirts with high knockback. Poisoned enemies create a poison puddle on death.,Lousy T-Shirt,C,Semiautomatic,26.1,6,250,15,0.35,1.7,25,"1,000",60,5,SILLY,
./img/menu_weapons/Barrel,Barrel,Fires a fish that has a chance to stun and leaves a pool of water on impact.,Nothin' Easier,C,Semiautomatic,30.3,9,300,8,0.20,0.78,20,"1,000",13,7,SILLY,
./img/menu_weapons/Origuni,Origuni,Fires paper planes that follow the player's crosshair.,Thousand Cuts,C,Semiautomatic,22.5,8,300,7.5,0.20,1.2,?,?,?,?,PISTOL,
./img/menu_weapons/Really Special Lute,Really Special Lute,Fires in a very wide spread. Buffs the player's companions. Chance to Charm enemies.,Purple Prose,C,Automatic,82.5,75,300,42 (6x7),0.5,1.2,9,10,13,?,SILLY,
./img/menu_weapons/Boxing Glove,Boxing Glove,"Shoots a boxing glove with a chance to stun. Gains a star each time it kills an enemy, up to 3. When at 3 stars, can be charged to consume the stars and fire a high-damage super punch. Increases curse by 1.",Pistol Hondo,C,Charged,30.0,350,350,"Regular: 12
Super: 200",0.40,1.5,?,3.5,?,N/A,CHARGE,
./img/menu_weapons/Colt 1851,Colt 1851,Fires a burst of two bullets.,You Dig,C,Burst,28.2,12,350,6,0.21,1.5,25,"1,000",10,8,PISTOL,
./img/menu_weapons/Thompson Sub-Machinegun,Thompson Sub-Machinegun,,"Myeah, See!",C,Automatic,40.8,30,350,5,0.10,0.78,23,"1,000",9,10,FULLAUTO,
./img/menu_weapons/Witch Pistol,Witch Pistol,Fires bullets that have a chance to transmogrify enemies.,Spells Your Doom,C,Semiautomatic,18.5,6,350,6,0.15,1.2,27,"1,000",20,2,PISTOL,
./img/menu_weapons/Mahoguny,Mahoguny,Fires bouncing explosive wood bullets and several leaves.,100% Organic,C,Semiautomatic,56.3,10,350,"Wood: 5 (impact) + 10 (explosion)
Leaves: 4",0.40,1.2,15,30,20,0,EXPLOSIVE,
./img/menu_weapons/Buzzkill,Buzzkill,"Fires piercing, bouncing sawblades.",Sawed On!,C,Semiautomatic,24.7,12,350,7,0.20,1.2,25,"1,000",10,5,SHITTY,
./img/menu_weapons/Tear Jerker,Tear Jerker,Fires tears that leave behind puddles of water.,Q_Q,C,Semiautomatic,26.0,20,350,7,0.22,1.2,15,15,10,0,SHITTY,
./img/menu_weapons/Bubble Blaster,Bubble Blaster,Fires bubbles which move slowly towards enemies. Reloading the gun launches bubbles away from the player at high speed.,The Suds,C,Automatic,105.3,100,500,12,0.12,1.4,N/A,15,10,12,SILLY,
./img/menu_weapons/JK-47,JK-47,Reloading inflicts fear on nearby enemies.,Substitute,C,Automatic,18.9,30,500,5.5,0.25,1.5,23,"1,000",9,4,SILLY,
./img/menu_weapons/Laser Rifle,Laser Rifle,Fires a burst of three lasers.,Blast Off!,C,Burst,25.5,24,500,5,0.50,1.2,200,60,16,5,FULLAUTO,
./img/menu_weapons/Plunger,Plunger,Fires a stream of poison. Has a chance to poison enemies and leaves poison puddles on impact.,Take Your Best Shot!,C,Beam,5.0,500,500,5/s,0.10,N/A,20,20,40,0,POISON,
./img/menu_weapons/MAC10,MAC10,Fires a burst of four bullets.,$#!^@ Never End,C,Burst,34.7,30,600,3.5,0.07,1.0,23,"1,000",3,10,FULLAUTO,
./img/menu_weapons/Hegemony Carbine,Hegemony Carbine,Shoots rapid fire white bolts of energy.,All The Same,C,Automatic,23.0,25,600,3.5,0.10,1.4,30,50,4,5,FULLAUTO,
./img/menu_weapons/Luxin Cannon,Luxin Cannon,"Fires laser shots at enemies. The last bullet of magazine fires a crystal, which splits into 5 small crystals on impact.",Omnichrome,C,Automatic,43.8,30,600,4.5,0.07,1.5,60,"1,000",10,6,FULLAUTO,
./img/menu_weapons/Moonscraper,Moonscraper,Fires a beam that reflects off of solid objects once.,Beeeeoooowwww!,C,Beam,26.0,700,700,26/s,0.10,N/A,,50,20,5,BEAM,
./img/menu_weapons/Gamma Ray,Gamma Ray,Fires a green laser that slightly curves towards enemies and can poison.,Mean Green,C,Beam,16.0,800,800,16/s,0.10,N/A,,50,10,0,BEAM,
./img/menu_weapons/Screecher,Screecher,Rapidly fires piercing sound waves that have a small chance to stun.,Cover Your Ears!,C,Automatic,30.0,"1,000","1,000",1.5,0.05,0.6,12,12,0,0,SHITTY,
./img/menu_weapons/Cactus,Cactus,Fires needles.,1000 Needles!,C,Automatic,25.0,"1,000","1,000",2.5,0.10,0.0,60,"1,000",1,7,SHITTY,
./img/menu_weapons/Crown of Guns,Crown of Guns,Sits atop the player's head and fires bullets in all directions.,All Hail,C,Automatic,220.0,3000,3000,5.5,0.04,2.0,?,40,9,360,SILLY,
./img/menu_weapons/Evolver,Evolver,Killing enemies evolves the gun through 6 forms.,Tamagunchi,C,Semiautomatic,13.5-93.8,8-300,"300 (first 5 forms)
150 (6th form)",6-37.5,"0.7 (snail form)
0.4 (other forms)",1.5,Varies,Varies,Varies,Varies,SILLY,
./img/menu_weapons/Chamber Gun,Chamber Gun,Transforms based on the current chamber.,Product of Environment,C,Semiautomatic,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,NONE,
./img/menu_weapons/Lil' Bomber,Lil' Bomber,Fires a bomb that bounces off of walls and explodes on enemy contact.,ReFuse To Lose!,D,Charged,30.0,3,60,15 (impact) + 25 (explosion),1.00,2.0,23,"1,000",35,6,EXPLOSIVE,
./img/menu_weapons/Sling,Sling,Fires bouncing rocks. Deals 2.5x damage to bosses and 2x damage after bouncing.,Outrageous!,D,Charged,25.0,1,80,62.5 (to bosses),0.10,0.9,23,"1,000",35,0,CHARGE,
./img/menu_weapons/Blunderbuss,Blunderbuss,Fires a short-ranged spray of bullets.,Shoots Anything,D,Charged,44.4,4,100,30 (3x10),0.50,1.2,26,"1,000",25,20,CHARGE,
./img/menu_weapons/Crossbow,Crossbow,Fires bolts. Starting gun of The Hunter.,The Original,D,Semiautomatic,29.3,1,100,22,0.50,0.75,26,"1,000",25,7,PISTOL,
./img/menu_weapons/Dueling Pistol,Dueling Pistol,Fires large piercing bullets that bounce twice.,Ricochet,D,Semiautomatic,10.0,1,120,10,0.20,1.2,30,"1,000",15,8,SHITTY,
./img/menu_weapons/Winchester Rifle,Winchester Rifle,,Guns And Deviltry.,D,Semiautomatic,19.7,12,130,15,0.72,1.2,32,"1,000",9,5,RIFLE,
./img/menu_weapons/Flare Gun,Flare Gun,Fires bullets that have a chance to burn enemies.,Over Here,D,Semiautomatic,17.3,1,150,13,0.10,0.8,23,"1,000",35,6,FIRE,
./img/menu_weapons/Regular Shotgun,Regular Shotgun,,Cocked And Loaded,D,Semiautomatic,32.0,8,150,24 (4x6),0.60,1.8,23,15,30,10,SHOTGUN,
./img/menu_weapons/Sawed-Off,Sawed-Off,Starting gun of The Convict.,No Butts About It,D,Semiautomatic,25.9,6,150,16 (4x4),0.50,1.2,23,8,30,8,SHOTGUN,
./img/menu_weapons/Derringer,Derringer,,One Last Trick,D,Semiautomatic,15.2,2,200,10,0.07,1.2,23,60,30,6,SHITTY,
./img/menu_weapons/Plague Pistol,Plague Pistol,Bullets create poison puddles on impact.,Chemical Warfare,D,Semiautomatic,16.8,12,200,4,0.15,1.2,20,25,13,5,POISON,
./img/menu_weapons/T-Shirt Cannon,T-Shirt Cannon,Fires t-shirts that have high knockback.,Machine Gun Wash Only!,D,Semiautomatic,18.1,6,250,8,0.35,0.9,25,"1,000",60,5,SILLY,
./img/menu_weapons/38 Special,38 Special,Fires faster right after a dodge roll.,For The Inquisitive,D,Semiautomatic,26.5,6,350,5,0.07,0.78,23,35,10,5,SHITTY,
./img/menu_weapons/Unfinished Gun,Unfinished Gun,Fires piercing bullets.,Still Warm,D,Semiautomatic,20.9,15,350,6,0.20,1.5,15,35,6,15,FIRE,
./img/menu_weapons/Makarov,Makarov,,The People's Gun,D,Semiautomatic,16.6,7,350,5,0.15,1.2,23,60,10,4,SHITTY,
./img/menu_weapons/Alien Sidearm,Alien Sidearm,Charged shots are larger and deal more damage.,Shield Breaker,D,Charged,19.6,10,350,"Uncharged: 5
Charged: 25",0.15,1.2,23,15,10,5,PISTOL,
./img/menu_weapons/Flash Ray,Flash Ray,Shoots piercing lasers with a chance to stun.,Ah Ahhh!,D,Semiautomatic,23.1,8,350,7.5,0.20,1.2,600,"1,000",4,10,PISTOL,
./img/menu_weapons/Phoenix,Phoenix,Shooting creates a small cone of fire in front of the player that burns enemies.,Reborn In Flame,D,Semiautomatic,16.8,12,350,4,0.15,1.2,25,25,13,3,FIRE,
./img/menu_weapons/Mailbox,Mailbox,"Fires mail at enemies. The last bullet of each magazine is a package, which can explode, leave confetti, burn, or poison.",Special Delivery,D,Semiautomatic,16.6,10,350,5,0.20,1.2,22,"1,000",10,10,SILLY,
./img/menu_weapons/Snowballer,Snowballer,Fires snowballs that have a chance to freeze enemies.,May Contain Rocks,D,Automatic,17.3,20,400,3.5,0.15,1.2,28,35,10,10,ICE,
./img/menu_weapons/Fossilized Gun,Fossilized Gun,"Fires a stream of oil. Reloading spits fire, which can ignite the oil.",Proof That Guns Once Existed,D,Beam,15.0,500,500,15/s,0.10,N/A,15,20,40,0,FIRE,
./img/menu_weapons/Nail Gun,Nail Gun,Fires a rapid stream of low damage nails. Fires faster if fire button is tapped rather than held.,Pest Control,D,Semiautomatic,25.1,500,500,3,0.12,0.0,26,12,8,10,SHITTY,
./img/menu_weapons/Machine Pistol,Machine Pistol,,Rapid Fire,D,Automatic,29.7,30,600,3.2,0.07,1.2,23,16,6,10,FULLAUTO,
./img/menu_weapons/Wind Up Gun,Wind Up Gun,"In each magazine, the first 10 bullets pierce. The last 10 deal half damage.",Charge It,D,Automatic,18.9,20,600,5,0.13,1.5,30,35,10,8,FULLAUTO,
./img/menu_weapons/Klobbe,Klobbe,Rapidly fires low-damage bullets.,Everyone's Favorite,D,Automatic,11.9,32,900,1.2,0.04,2.0,14,"1,000",1,20,FULLAUTO,
./img/menu_weapons/Mega Douser,Mega Douser,Fires a stream of water.,Contents Under Pressure,D,Beam,15.0,900,900,15/s,0.10,N/A,20,20,40,0,BEAM,
./img/menu_weapons/Lower Case r,Lower Case r,Fires a burst of 6 bullets that spell out the word bullet.,Alphabetical!,D,Burst,18.0,36,900,2.2,0.07,2.0,25,"1,000",14,0,SILLY,
./img/menu_weapons/Rubenstein's Monster,Rubenstein's Monster,Created when both RUBE-ADYNE Prototype and RUBE-ADYNE MK.II are picked up. Rapidly fires bouncing lasers.,Unit 00,D,Automatic,102.2,100,900,7,0.07,0.9,26,"1,000",9,11,SHITTY,
./img/menu_weapons/Pea Shooter,Pea Shooter,Fires peas.,Baby's First Gun,D,Semiautomatic,10.6,6,1000,4,0.15,1.5,20,20,3,10,SHITTY,
./img/menu_weapons/Casey,Casey,Charged swings reflect nearby bullets. Does not crack secret walls. Increases curse by 2.,Batting .50,D,Charged,50.0,1,∞,100,0.20,1.0,N/A,2.5,120,N/A,SILLY,
./img/menu_weapons/Rusty Sidearm,Rusty Sidearm,Starting gun of The Hunter. Does not crack secret walls.,Still Works. Mostly.,D,Semiautomatic,16.4,6,∞,6,0.20,1.2,16,16,10,7,SHITTY,
./img/menu_weapons/Marine Sidearm,Marine Sidearm,Starting gun of The Marine. Does not crack secret walls.,Always With You,D,Semiautomatic,15.6,10,∞,5,0.25,1.2,25,18,12,5,SHITTY,
./img/menu_weapons/Rogue Special,Rogue Special,"Fires short-range, inaccurate lasers. Starting gun of The Pilot. Does not crack secret walls.",Underhanded And Efficient,D,Semiautomatic,13.6,8,∞,5,0.25,1.2,22,13,6,10,SHITTY,
./img/menu_weapons/Budget Revolver,Budget Revolver,Starting gun of The Convict. Does not crack secret walls.,Affordable Arms,D,Semiautomatic,20.0,5,∞,6,0.15,0.9,23,18,10,10,SHITTY,
./img/menu_weapons/Dart Gun,Dart Gun,Fires sticky darts. Starting gun of The Cultist. Does not crack secret walls. Only available in co-op.,Sticky,D,Semiautomatic,18.0,6,∞,6,0.20,1.0,20,25,2,5,SHITTY,
./img/menu_weapons/Robot's Right Hand,Robot's Right Hand,Starting gun of The Robot. Does not crack secret walls.,Built To Kill,D,Semiautomatic,20.0,20,∞,5,0.20,1.2,25,20,10,7,SHITTY,
./img/menu_weapons/Slinger,Slinger,"Starting weapon of The Gunslinger. Reloading an empty clip throws the gun, which has a chance to stun enemies. Does not crack secret walls.",Farewell to arms,D,Semiautomatic,22.4,7,∞,"6 (bullet)
4 (gun)","0.1 (Manual)
0.25 (Automatic)",1.3,"23 (Bullet)
19 (Gun)","1,000 (Bullet)
30 (Gun)","9 (Bullet)
40 (Gun)",0,NONE,
./img/menu_weapons/Finished Gun,Finished Gun,Replaces Unfinished Gun once the Ammonomicon is complete.,Thanks For Playing,D/S,Semiautomatic,84.1,5,500,"14
25 (final shot)",0.07,0.78,"30
20 (final shot)","1,000",14,0,PISTOL,
./img/menu_weapons/Prize Pistol,Prize Pistol,Given by Winchester to play his shooting range. Cannot be taken into combat.,Definitely Fair,-,Semiautomatic,?,4,4,14,0.07,1.2,18,60,10,0,PISTOL,
./img/menu_weapons/Mimic Gun,Mimic Gun,"Chance to replace guns the player picks up. Jams enemy bullets that its own shots pass nearby.
Cannot be dropped or switched away from until enough damage is dealt or ammo is picked up.",,-,Semiautomatic,?,8,900,6,0.07,2,15,35,6,0,SILLY,
./img/menu_weapons/Windgunner,Windgunner,Granted by Sprun under the right conditions.,The Way Of Guns,-,Automatic,?,300,∞,45,0.1,0,25,1000,20,0,FULLAUTO,
./img/menu_weapons/Blasphemy (Wooden),Blasphemy (Wooden),Given to the player in the Bullet's past in order to fight Cannon.,To The Point,-,Semiautomatic,?,6,∞,14,0.2,1,N/A,N/A,N/A,0,SILLY,